episode,step,action,selected_q_value,q_value_0,q_value_1,q_value_2,q_value_3,q_value_4,reward,speed,on_road,crashed,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4
1,22,0,0.4491,0.4491,0.2931,0.3902,0.2416,0.1421,-1.0000,0.0136,False,False,False,False,"[ 1.0000000e+00 -1.6420512e-01  1.0000000e+00  6.2666781e-04
  1.5676237e-04  9.7010773e-01  2.4267466e-01]","[ 1.         -0.06497671 -0.00962358  0.00632233  0.0065408   0.7200132
  0.69396037]","[ 1.         -0.10542685 -0.2108197   0.01091187  0.01058075  0.7320606
  0.6812395 ]","[ 1.         -0.13811602 -0.49303684  0.48831964  0.40055874  0.77343875
  0.633871  ]","[ 1.          0.58961004 -1.          0.25718188 -0.38469693  0.55686426
 -0.8306035 ]"
1,23,0,0.2192,0.2192,0.0400,0.1406,-0.0141,-0.1651,-1.0000,0.0096,False,False,False,False,"[ 1.00000000e+00 -1.64177880e-01  1.00000000e+00  4.40162374e-04
  1.09965025e-04  9.70181704e-01  2.42378861e-01]","[ 1.         -0.06448871 -0.00633374  0.00520963  0.0053354   0.7200132
  0.69396037]","[ 1.         -0.10493238 -0.20757616  0.0089411   0.00862003  0.7320606
  0.6812395 ]","[ 1.         -0.10395235 -0.38208395  0.4341732   0.33808073  0.78921306
  0.61411947]","[ 1.          0.6034297  -1.          0.23557061 -0.39840043  0.5097813
 -0.86030406]"
1,24,0,-0.0061,-0.0061,-0.2325,-0.1168,-0.2775,-0.5441,-1.0000,0.0067,False,False,False,False,"[ 1.0000000e+00 -1.6416103e-01  1.0000000e+00  3.0912764e-04
  7.7281824e-05  9.7014254e-01  2.4253538e-01]","[ 1.         -0.06408665 -0.00372043  0.00428436  0.00435     0.7200132
  0.69396037]","[ 1.         -0.078463   -0.26535597  0.35304764  0.27488428  0.78921306
  0.61411947]","[ 1.         -0.10452507 -0.20500048  0.00731818  0.00702053  0.7320606
  0.6812395 ]","[ 1.          0.6158985  -1.          0.21317232 -0.41088387  0.4611181
 -0.88733876]"
1,25,0,-0.2197,-0.2197,-0.4603,-0.3455,-0.5163,-0.8194,-1.0000,0.0050,False,True,True,False,"[ 1.0000000e+00 -1.6414760e-01  1.0000000e+00  2.1711837e-04
  5.4244843e-05  9.7017902e-01  2.4238947e-01]","[ 1.         -0.06375949 -0.00154691  0.00351756  0.0035453   0.7200132
  0.69396037]","[ 1.         -0.05843453 -0.16444366  0.287075    0.22349969  0.78921306
  0.61411947]","[ 1.         -0.10419364 -0.20285755  0.00598417  0.00571653  0.7320606
  0.6812395 ]","[ 1.          0.62697077 -1.          0.19007327 -0.42210394  0.41102564
 -0.9116238 ]"
2,0,4,5.3319,4.6902,5.0274,4.8394,4.9199,5.3319,-1.0000,14.0689,False,False,False,False,"[ 1.          0.28438303  1.          0.46205285 -0.31951395  0.82249933
 -0.56876606]","[ 1.         -0.10570385  0.65554845  0.0630659   0.13538693  0.9436703
 -0.33088738]","[ 1.          0.21261847 -1.         -0.27263966 -0.12629798  0.39104122
 -0.92037314]","[ 1.         -0.43220434  0.72082573  0.00603775  0.45273936  0.96180284
  0.27374315]","[ 1.         -0.5755534   0.29016525 -0.11735796  0.54020566  0.8421749
  0.5392044 ]"
2,1,4,4.9666,4.5170,4.7695,4.5992,4.6842,4.9666,-1.0000,12.1136,False,False,False,False,"[ 1.          0.3096542   1.          0.37471947 -0.2819794   0.79903704
 -0.6012818 ]","[ 1.         -0.10524569  0.6413099   0.0739418  -0.04719461  0.8062715
 -0.5915457 ]","[ 1.          0.18647623 -1.         -0.3376996  -0.20098554  0.07642706
 -0.9970752 ]","[ 1.         -0.42861134  0.8190566   0.11142611  0.2591689   0.998901
 -0.04686959]","[ 1.         -0.5763271   0.4188812   0.02630142  0.36384302  0.97979325
  0.20001307]"
2,2,4,5.2414,4.8248,5.0827,4.8993,5.0156,5.2414,-1.0000,10.7402,False,False,False,False,"[ 1.          0.33002195  1.          0.31084418 -0.2577178   0.76982546
 -0.6382545 ]","[ 1.         -0.10009477  0.61317194  0.11895057 -0.0957351   0.77236724
 -0.63517624]","[ 1.          0.16657661 -1.         -0.29467294 -0.2263939   0.03338537
 -0.9994426 ]","[ 1.         -0.41994888  0.91355073  0.17384811  0.2137721   0.9959149
 -0.09029678]","[ 1.         -0.5724373   0.5594769   0.09226127  0.32860783  0.98488635
  0.17320189]"
2,3,4,5.4691,5.0668,5.3440,5.1389,5.2885,5.4691,-1.0000,7.5432,False,False,False,False,"[ 1.          0.34695765  1.          0.26527435 -0.24041525  0.7409725
 -0.6715354 ]","[ 1.         -0.09131274  0.57730544  0.16375262 -0.11396923  0.7709874
 -0.63685036]","[ 1.          0.1510748  -1.         -0.24226755 -0.24341975  0.04749722
 -0.9988714 ]","[ 1.         -0.40776676  1.          0.21996993  0.20305416  0.99704903
 -0.0767672 ]","[ 1.         -0.5653995   0.700999    0.1352556   0.3246481   0.9785937
  0.20580171]"
2,4,4,6.0344,5.6131,5.9331,5.6958,5.8770,6.0344,-1.0000,5.2978,False,False,False,False,"[ 1.          0.36037472  1.          0.1800142  -0.17554861  0.715931
 -0.698171  ]","[ 1.         -0.07906855  0.5262912   0.24747868 -0.18068491  0.76823056
 -0.64017326]","[ 1.          0.13943246 -1.         -0.15191975 -0.30801764  0.0580006
 -0.9983165 ]","[ 1.         -0.39204255  1.          0.3055804   0.14305645  0.9977689
 -0.06676282]","[ 1.         -0.55499303  0.8321044   0.2180895   0.27058995  0.9726658
  0.2322095 ]"
2,5,4,6.5563,6.1234,6.4608,6.2054,6.4066,6.5563,-1.0000,3.7208,False,False,False,False,"[ 1.          0.36952406  1.          0.12351653 -0.12621173  0.6994346
 -0.71469665]","[ 1.         -0.06298311  0.44647783  0.29722458 -0.23797144  0.75609726
 -0.65445924]","[ 1.          0.13181794 -1.         -0.0980217  -0.35749856  0.05263376
 -0.9986139 ]","[ 1.         -0.37206814  1.          0.361881    0.09089775  0.997364
 -0.07256092]","[ 1.         -0.53723204  0.9467824   0.24730675  0.21796203  0.9707282
  0.2401807 ]"
2,6,4,6.9605,6.5289,6.8640,6.6034,6.8035,6.9605,-1.0000,2.6133,False,True,True,False,"[ 1.          0.3758728   1.          0.08558492 -0.08976757  0.690044
 -0.7237674 ]","[ 1.         -0.04485849  0.34186122  0.3229959  -0.28800777  0.73424447
 -0.67888516]","[ 1.          0.1263206  -1.         -0.06996198 -0.39436212  0.03225335
 -0.9994797 ]","[ 1.         -0.34935254  1.          0.39897296  0.0443637   0.9956387
 -0.09329297]","[ 1.         -0.51725763  1.          0.21590814  0.16436395  0.9707282
  0.2401807 ]"
